vt0,vt1,vt2,Velocity,,,xt0,xt1,xt2,Position,,,Svt0,Svt1,Svt2,Svelocity,,Sxt0,Sxt1,Sxt2,Sposition
0,0,0,,,,0,0,0,,,,0,0,0,,,0,0,0,
0,0,24.709632,,,,0,0,0,,,,0,0,25303,,,0,0,0,
0,24.709632,24.709632,0.24709632,,,0,0,0.24709632,,,,0,25303,25303,0,,0,0,253,
0.24709632,24.709632,24.709632,0.49419264,,,0,0.24709632,0.49419264,0.003706445,,,253,25303,25303,506,,0,253,506,4
0.49419264,24.709632,24.709632,0.74128896,,,0.003706445,0.49419264,0.74128896,0.009883853,,,506,25303,25303,759,,4,506,759,10
0.74128896,24.709632,24.709632,0.98838528,,,0.009883853,0.74128896,0.98838528,0.018532224,,,759,25303,25303,1012,,10,759,1012,19
0.98838528,24.709632,24.709632,1.2354816,,,0.018532224,0.98838528,1.2354816,0.029651558,,,1012,25303,25303,1265,,19,1012,1265,30
1.2354816,24.709632,24.709632,1.48257792,,,0.029651558,1.2354816,1.48257792,0.043241856,,,1265,25303,25303,1518,,30,1265,1518,44
1.48257792,24.709632,24.709632,1.72967424,,,0.043241856,1.48257792,1.72967424,0.059303117,,,1518,25303,25303,1771,,44,1518,1771,61
1.72967424,24.709632,24.709632,1.97677056,,,0.059303117,1.72967424,1.97677056,0.077835341,,,1771,25303,25303,2024,,61,1771,2024,80
1.97677056,24.709632,24.709632,2.22386688,,,0.077835341,1.97677056,2.22386688,0.098838528,,,2024,25303,25303,2277,,80,2024,2277,101
2.22386688,24.709632,24.709632,2.4709632,,,0.098838528,2.22386688,2.4709632,0.122312678,,,2277,25303,25303,2530,,101,2277,2530,125
2.4709632,24.709632,24.709632,2.71805952,,,0.122312678,2.4709632,2.71805952,0.148257792,,,2530,25303,25303,2783,,125,2530,2783,152
2.71805952,24.709632,24.709632,2.96515584,,,0.148257792,2.71805952,2.96515584,0.176673869,,,2783,25303,25303,3036,,152,2783,3036,181
2.96515584,24.709632,24.709632,3.21225216,,,0.176673869,2.96515584,3.21225216,0.207560909,,,3036,25303,25303,3289,,181,3036,3289,213
3.21225216,24.709632,24.709632,3.45934848,,,0.207560909,3.21225216,3.45934848,0.240918912,,,3289,25303,25303,3542,,213,3289,3542,247
3.45934848,24.709632,24.709632,3.7064448,,,0.240918912,3.45934848,3.7064448,0.276747878,,,3542,25303,25303,3795,,247,3542,3795,283
3.7064448,24.709632,24.709632,3.95354112,,,0.276747878,3.7064448,3.95354112,0.315047808,,,3795,25303,25303,4048,,283,3795,4048,323
3.95354112,24.709632,24.709632,4.20063744,,,0.315047808,3.95354112,4.20063744,0.355818701,,,4048,25303,25303,4301,,323,4048,4301,364
4.20063744,24.709632,24.709632,4.44773376,,,0.355818701,4.20063744,4.44773376,0.399060557,,,4301,25303,25303,4554,,364,4301,4554,409
4.44773376,24.709632,24.709632,4.69483008,,,0.399060557,4.44773376,4.69483008,0.444773376,,,4554,25303,25303,4808,,409,4554,4808,455
4.69483008,24.709632,24.709632,4.9419264,,,0.444773376,4.69483008,4.9419264,0.492957158,,,4808,25303,25303,5061,,455,4808,5061,505
4.9419264,24.709632,24.709632,5.18902272,,,0.492957158,4.9419264,5.18902272,0.543611904,,,5061,25303,25303,5314,,505,5061,5314,557
